puzzle ID,algorithm,iteration,number of processes,time taken
7,MultiProcess,3,8,4272
7,MultiProcess,4,8,4248
1,MultiProcess,0,13,99657
1,MultiProcess,1,13,97331
1,MultiProcess,2,13,97753
1,MultiProcess,3,13,100040
1,MultiProcess,4,13,90472
2,MultiProcess,0,13,18279
2,MultiProcess,1,13,19586
2,MultiProcess,2,13,18826
2,MultiProcess,3,13,17442
2,MultiProcess,4,13,18669
3,MultiProcess,0,13,95360
3,MultiProcess,1,13,97827
3,MultiProcess,2,13,92002
3,MultiProcess,3,13,93809
3,MultiProcess,4,13,93275
4,MultiProcess,0,13,106617
4,MultiProcess,1,13,104105
4,MultiProcess,2,13,107593
4,MultiProcess,3,13,104709
4,MultiProcess,4,13,104849
5,MultiProcess,0,13,106697
5,MultiProcess,1,13,106365
5,MultiProcess,2,13,110196
5,MultiProcess,3,13,111962
5,MultiProcess,4,13,107962
6,MultiProcess,0,13,2495
6,MultiProcess,1,13,2554
6,MultiProcess,2,13,2443
6,MultiProcess,3,13,2547
6,MultiProcess,4,13,2540
7,MultiProcess,0,13,4484
7,MultiProcess,1,13,4477
7,MultiProcess,2,13,4364
7,MultiProcess,3,13,4579
7,MultiProcess,4,13,4594
1,MultiProcess count adjusted depth 2,0,4,124343
1,MultiProcess count adjusted depth 2,1,4,128402
1,MultiProcess count adjusted depth 2,2,4,123653
1,MultiProcess count adjusted depth 2,3,4,122097
1,MultiProcess count adjusted depth 2,4,4,120607
2,MultiProcess count adjusted depth 2,0,3,29534
2,MultiProcess count adjusted depth 2,1,3,30158
2,MultiProcess count adjusted depth 2,2,3,29828
2,MultiProcess count adjusted depth 2,3,3,29651
2,MultiProcess count adjusted depth 2,4,3,29630
3,MultiProcess count adjusted depth 2,0,4,119119
3,MultiProcess count adjusted depth 2,1,4,117106
3,MultiProcess count adjusted depth 2,2,4,117596
3,MultiProcess count adjusted depth 2,3,4,118994
3,MultiProcess count adjusted depth 2,4,4,121955
4,MultiProcess count adjusted depth 2,0,4,155025
4,MultiProcess count adjusted depth 2,1,4,152535
4,MultiProcess count adjusted depth 2,2,4,152039
4,MultiProcess count adjusted depth 2,3,4,154481
4,MultiProcess count adjusted depth 2,4,4,154160
5,MultiProcess count adjusted depth 2,0,4,145285
5,MultiProcess count adjusted depth 2,1,4,143355
5,MultiProcess count adjusted depth 2,2,4,142672
5,MultiProcess count adjusted depth 2,3,4,141709
5,MultiProcess count adjusted depth 2,4,4,144886
6,MultiProcess count adjusted depth 2,0,4,3469
6,MultiProcess count adjusted depth 2,1,4,3511
6,MultiProcess count adjusted depth 2,2,4,3506
6,MultiProcess count adjusted depth 2,3,4,3400
6,MultiProcess count adjusted depth 2,4,4,3281
7,MultiProcess count adjusted depth 2,0,4,6961
7,MultiProcess count adjusted depth 2,1,4,6971
7,MultiProcess count adjusted depth 2,2,4,6836
7,MultiProcess count adjusted depth 2,3,4,6996
7,MultiProcess count adjusted depth 2,4,4,6944
1,MultiProcess count adjusted depth 3,0,7,106396
1,MultiProcess count adjusted depth 3,1,7,113844
1,MultiProcess count adjusted depth 3,2,7,108553
1,MultiProcess count adjusted depth 3,3,7,105274
1,MultiProcess count adjusted depth 3,4,7,107088
2,MultiProcess count adjusted depth 3,0,5,25111
2,MultiProcess count adjusted depth 3,1,5,25629
2,MultiProcess count adjusted depth 3,2,5,26561
2,MultiProcess count adjusted depth 3,3,5,25769
2,MultiProcess count adjusted depth 3,4,5,25085
3,MultiProcess count adjusted depth 3,0,7,114438
3,MultiProcess count adjusted depth 3,1,7,121155
